                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1226,                0.84775,                 1.0492,                0.77028,                0.62097,                0.69948,                0.46978,                  1.113,                0.84334,                 1.0184,               0.070009,              0.0033323,              0.0033323
                      1,                 1.1582,                0.90323,                 1.0653,                0.78741,                0.60202,                0.68314,                0.46082,                 1.1183,                0.86928,                 1.0271,                0.03957,              0.0062257,              0.0062257
                      2,                 1.2047,                0.98311,                 1.0886,                0.75514,                0.57013,                0.64744,                0.42539,                 1.1639,                 0.9363,                  1.051,              0.0086896,              0.0086791,              0.0086791
                      3,                 1.2425,                  1.048,                 1.1081,                0.76348,                0.56823,                0.64788,                0.43326,                 1.1541,                0.93045,                 1.0476,                0.00802,                0.00802,                0.00802
                      4,                 1.2373,                 1.0342,                  1.105,                0.77613,                0.59094,                 0.6723,                0.45031,                 1.1306,                0.88837,                 1.0347,                0.00802,                0.00802,                0.00802
                      5,                 1.2261,                 1.0087,                 1.0993,                0.79285,                 0.6059,                0.68793,                0.46222,                 1.1205,                 0.8618,                  1.031,                0.00736,                0.00736,                0.00736
                      6,                 1.2083,                0.97562,                 1.0911,                0.79342,                0.62006,                0.69996,                0.46997,                 1.1057,                0.83183,                 1.0211,                 0.0067,                 0.0067,                 0.0067
                      7,                 1.1926,                0.94833,                 1.0822,                0.81715,                0.61423,                0.71015,                0.48012,                 1.0951,                0.81365,                 1.0151,                0.00604,                0.00604,                0.00604
                      8,                 1.1788,                0.92295,                  1.074,                0.83671,                0.62178,                0.72204,                 0.4931,                 1.0868,                0.79711,                 1.0081,                0.00538,                0.00538,                0.00538
                      9,                 1.1697,                0.90389,                 1.0682,                0.83362,                0.63826,                0.73202,                0.49959,                 1.0771,                0.78117,                 1.0027,                0.00472,                0.00472,                0.00472
                     10,                 1.1555,                0.87957,                 1.0619,                0.81983,                0.64922,                0.73751,                0.50567,                 1.0716,                0.77359,                0.99862,                0.00406,                0.00406,                0.00406
                     11,                 1.1417,                0.85962,                  1.056,                0.82352,                0.65796,                0.74235,                0.51104,                 1.0666,                0.76433,                0.99579,                 0.0034,                 0.0034,                 0.0034
                     12,                 1.1256,                0.83628,                 1.0482,                0.81882,                 0.6638,                 0.7446,                0.51128,                 1.0588,                0.75467,                0.99086,                0.00274,                0.00274,                0.00274
                     13,                 1.1101,                0.81213,                 1.0407,                0.81649,                  0.672,                0.75011,                0.51624,                 1.0557,                0.74823,                0.98859,                0.00208,                0.00208,                0.00208
                     14,                  1.101,                  0.794,                 1.0356,                0.80852,                 0.6818,                0.75325,                0.51811,                 1.0532,                0.74417,                0.98697,                0.00142,                0.00142,                0.00142
