                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5318,                 3.1377,                 1.2916,                0.62175,                0.23517,                0.24485,                0.15728,                 1.3827,                 1.8117,                 1.1974,               0.070009,              0.0033323,              0.0033323
                      1,                 1.4398,                 1.8805,                  1.228,                0.66372,                0.34525,                0.40007,                0.26378,                 1.3168,                 1.4296,                 1.1637,                0.03957,              0.0062257,              0.0062257
                      2,                 1.4379,                 1.6585,                 1.2218,                0.67422,                0.38961,                0.45017,                0.28898,                 1.3228,                 1.3398,                 1.1605,              0.0086896,              0.0086791,              0.0086791
                      3,                 1.4106,                  1.493,                 1.2099,                0.70182,                0.46452,                0.52685,                0.34196,                 1.2562,                 1.1804,                 1.1268,                0.00802,                0.00802,                0.00802
                      4,                 1.3656,                 1.3406,                 1.1845,                0.71997,                0.49359,                0.56946,                 0.3715,                 1.2115,                 1.0752,                 1.0941,                0.00802,                0.00802,                0.00802
                      5,                 1.3196,                 1.2337,                 1.1564,                0.73013,                0.53388,                0.60964,                0.40434,                   1.18,                  1.002,                 1.0765,                0.00736,                0.00736,                0.00736
                      6,                 1.2857,                 1.1591,                 1.1381,                0.76223,                0.54499,                0.63317,                0.42349,                 1.1529,                0.94581,                 1.0582,                 0.0067,                 0.0067,                 0.0067
                      7,                 1.2591,                 1.1018,                 1.1248,                0.73542,                0.57921,                0.65355,                0.43869,                 1.1323,                0.90616,                 1.0459,                0.00604,                0.00604,                0.00604
                      8,                 1.2349,                 1.0515,                  1.109,                0.78615,                0.58129,                0.66569,                0.44895,                 1.1202,                0.87852,                 1.0356,                0.00538,                0.00538,                0.00538
                      9,                  1.217,                 1.0155,                 1.0996,                0.79283,                0.60296,                0.68589,                0.46442,                 1.1085,                0.85558,                 1.0281,                0.00472,                0.00472,                0.00472
                     10,                  1.199,                0.97768,                  1.089,                 0.7734,                0.61736,                0.69113,                0.47165,                 1.0947,                0.83695,                 1.0191,                0.00406,                0.00406,                0.00406
                     11,                  1.181,                0.94853,                 1.0795,                0.77638,                0.63313,                0.70331,                0.48063,                 1.0884,                0.82079,                 1.0143,                 0.0034,                 0.0034,                 0.0034
                     12,                 1.1635,                0.91786,                 1.0714,                0.77931,                0.63596,                0.70914,                0.48615,                 1.0811,                0.80906,                 1.0096,                0.00274,                0.00274,                0.00274
                     13,                 1.1473,                0.88999,                 1.0621,                0.77612,                0.64579,                0.71505,                0.49053,                 1.0772,                 0.7992,                 1.0051,                0.00208,                0.00208,                0.00208
                     14,                  1.131,                0.86259,                  1.054,                0.78677,                0.64804,                 0.7207,                0.49546,                 1.0745,                0.79246,                  1.003,                0.00142,                0.00142,                0.00142
